ID,标签,标题                            ,问题                                                                                                                                                 ,答案                                                                                                                                                                           ,省份 ,年份
6 ,0 ,美术生                           ,美术生综合分排名5135有机会吗                                                                                                                                   ,广东5000+美术有机会！！                                                                                                                                                               ,广东 ,2021
7 ,0 ,安徽文科2万7左右能上贵校吗                ,安徽文科2万7左右能上吗                                                                                                                                       ,安徽今年在一本批次录取，2.7万文科，有难度！！                                                                                                                                                     ,安徽 ,2021
8 ,0 ,录取                            ,河南考生502是否有希望被录取                                                                                                                                    ,河南今年在一本批次录取，502几率不是很高！                                                                                                                                                       ,河南 ,2021
9 ,0 ,招生                            ,今年物理类广告是少招了人吗                                                                                                                                      ,广东物理类扩招近500人！！                                                                                                                                                               ,广东 ,2021
10,0 ,报考                            ,你好，请问一下选科为物理，地理，生物，可以报考贵校的英语，商务英语专业吗，成绩560，广东排名58641可以报考该专业吗                                                                                       ,5.8W物理报考我校英语及商务英语均有机会                                                                                                                                                        ,广东 ,2021
11,0 ,是否能进贵校                        ,我的排名是84586                                                                                                                                         ,不管椒历史还是物理，都欢迎冲报我校！！                                                                                                                                                          ,广东 ,2021
12,0 ,广东美术生                         ,你好，请问术科221，文化431，折合504，有机会进入贵校吗？哪个专业分比较低                                                                                                           ,去年我校广东省美术生投档排位为5112，动画专业相对投档分数较低！！请根据排位合理填报！！                                                                                                                                ,广东 ,2021
13,0 ,请问贵校2021年面向广东招生的最低排位会是多少？     ,你好！请问2021年广东新高考历史考生总分553全省排名17187可以上贵校哪些专业？被退档的概率会有多大？                                                                                             ,平行志愿模式投档的考生，服从专业调剂，身体符合录取要求，原则上不退档！！                                                                                                                                         ,广东 ,2021
14,0 ,分数534排位89083有机会冲一下吗           ,分数534排位89083有机会冲一下吗                                                                                                                                ,历史还是物理？？？可以冲一下！！！                                                                                                                                                            ,广东 ,2021
15,0 ,咨询                            ,重庆544，位次12288，想问下读贵校的机率大吗？                                                                                                                         ,机会较大，欢迎报考！！                                                                                                                                                                  ,重庆 ,2021
16,0 ,录取                            ,海南623分，位次6793，可以报本校的会计学吗                                                                                                                           ,欢迎报考！！这个分数还是有机会！！                                                                                                                                                            ,广西 ,2021
17,0 ,广西文科                          ,老师您好，请问广西文科考生545分排名7170且服从调剂，有机会报考贵校吗                                                                                                              ,机会很大，欢迎报考！！                                                                                                                                                                  ,广西 ,2021
18,0 ,一本线差5分有希望吗？                   ,云南，理科515有希望广东财经大学吗                                                                                                                                 ,人校在云南省一本批次，分数不够无法报考！                                                                                                                                                         ,云南 ,2021
19,0 ,四川美术                          ,我想问下你们美术投档是综合分吗怎么算的呀今年按4：6的话我314.2可以报吗                                                                                                             ,四川省投档按照四川的投档规则投档！投档到学校后，才按照学校录取原则分档！！                                                                                                                                        ,四川 ,2021
5 ,0 ,云南招生                          ,请问贵校在云南招文科二本学生的专业有哪些？专业收分如何？                                                                                                                       ,今年我校在云南省是一本批次！                                                                                                                                                               ,云南 ,2021
6 ,0 ,2021年法学专业在江苏招历史类考生人数          ,老师好，请问广东财经大学法学专业今年在江苏招历史类考生的人数是几个？正常省排名多少以内可以填报志愿？谢谢！                                                                                              ,江苏历史类计划2名！！！去年排位大概1.3W，大概2万左右都可以冲一下！！！                                                                                                                                       ,江苏 ,2021
7 ,0 ,报考                            ,请问，云南考试高考分数516，位次四万左右可以报考吗？                                                                                                                        ,文科还是理科？？文科希望大一点，理科就差一点！                                                                                                                                                      ,云南 ,2021
8 ,0 ,想了解金融工程专业分数线                  ,2021年广东省历史考生，想报贵校金融工程专业，预估在多少排名和分数可以被录取？                                                                                                           ,金融工程专业不招历史类考生！                                                                                                                                                               ,广东 ,2021
9 ,0 ,调剂问题                          ,服从调剂是否会被退档？                                                                                                                                        ,平行志愿投档模式投档下来的考生，服从专业调剂，身体符合录取条件的，原则不退档！                                                                                                                                      ,广东 ,2021
10,0 ,中外合作的法学专业的本硕连读是什么意思？          ,中外合作的法学专业的本硕连读是什么意思？                                                                                                                               ,同学你好！顾名思义，国内读本科，国外读研究生。                                                                                                                                                      ,广东 ,2020
11,0 ,如下                            ,贵校今年转专业的条件是什么？什么时候可以转？是否已在全国范围内实现全部一本招生？（即是否是全国范围内认可的一本大学）若过最低分数线且服从调剂，体检无问题，是否有被退档的风险？想了解贵校近三年各专业录取最低分数线和排位，在哪里看？                                 ,转专业首先需要大一学年的平均绩点达到本专业的前百分之四十，其次绩点越高转专业的可能性和成功率越大，最后还要看看您想转入的专业今年是否招生。我校在部分地区一本招生，部分地区本科招生，在合并了一二本的地区本科招生。若被我校提档，体检合格，服从调剂，原则上我校不会轻易退档。具...[详细]                               ,广东 ,2020
12,0 ,广东文科                          ,广东文科553，排位12799，可以报贵校的好专业么？大概能冲最好的专业么？谢谢                                                                                                           ,同学你好，照你目前的排位，结合去年的情况来看，确实可以尝试报我校的经、管、法类热门专业，机会是挺大的。欢迎报考广财。                                                                                                                   ,广东 ,2020
13,0 ,你好                            ,广东财经大学和广东商学院是一回事吗，山西考生文科528.位次8580可以上你们学校吗                                                                                                         ,2013年，我校由广东商学院更名为广东财经大学。去年我校在山西没有普通文理科的招生计划，所以没有数据供您参考。我们鼓励考生在平行志愿的志愿填报模式下大胆填报我校。                                                                                            ,山西 ,2020
14,0 ,录取                            ,河南文科554，排名23278，服从调剂，有机会录取吗                                                                                                                        ,同学你好，我校去年在河南录取的文科最低分为556分，今年招生计划为8人，有扩招。若河南省以平行志愿模式投档，你又特别想来我们学校，可以尝试填报我校。欢迎报考广财。                                                                                            ,河南 ,2020
15,0 ,编导                            ,请问贵校广播电视编导专业的教学资源？                                                                                                                                 ,同学你好！有关我校广播电视编导专业的相关情况在以下网址，请自行查看。http://zsb.gdufe.edu.cn/2017/0926/c3895a78657/page.htm欢迎报考广财。                                                                              ,广东 ,2020
16,0 ,专业扩招                          ,计算机科学与技术和软件工程今年有扩招吗？扩招多少人？                                                                                                                         ,计算机科学与技术今年缩招12人左右，软件工程今年扩招9人左右。                                                                                                                                              ,广东 ,2020
17,0 ,专本连读                          ,你好，我想问一下想要专本连读是有什么要求的吗是不是要通过考试如果是要考什么科目？专本连读后，是本科还是专科学历                                                                                            ,我校有专本连读这一项目，由继续教育学院负责。咨询电话：020-84096684或020-84096849                                                                                                                         ,广东 ,2020
18,0 ,专本连读                          ,贵校有开设专本连读专业吗，报考要求分数是多少？                                                                                                                            ,我校有专本连读这一项目，由继续教育学院负责。咨询电话：020-84096684或020-84096849                                                                                                                         ,山东 ,2020
19,0 ,考了21521名，上贵校稳吗？               ,你好！我是文科生，考了21521名，上贵校稳吗？                                                                                                                           ,同学你好，我校去年在广东省录取的文科最低分为549分，最低排位18657。今年文科扩招652人。我校建议文科排名23000以内可大胆填报我校。欢迎报考广财。                                                                                               ,广东 ,2020
5 ,0 ,咨询                            ,老师您好，我是广东考生，文化分综合分489想报考咱们学校的广播电视编导专业，不知道被录取得希望大不大？                                                                                                ,同学你好！广东省广播电视编导专业按考生投档综合分的排位情况从高到低择优录取，去年我校广播电视编导专业录取的投档综合分最低分为504。你可根据自身实际情况考虑是否填报我校。欢迎报考广财！                                                                                 ,广东 ,2020
